approval_id,target_type,target_id,step_name,approver_user_id,approval_status,approval_comment,submitted_at,decided_at
5001,PURCHASE_REQUEST,3001,Department approval,1002,APPROVED,Approved for planned laptop refresh,2026-02-01 09:10:00,2026-02-01 14:30:00
5002,PURCHASE_REQUEST,3002,Department approval,1002,APPROVED,Warehouse need confirmed,2026-02-02 10:20:00,2026-02-02 15:10:00
5003,PURCHASE_REQUEST,3002,Finance approval,1004,APPROVED,Amount is within budget reserve,2026-02-02 15:15:00,2026-02-03 11:15:00
5004,PURCHASE_REQUEST,3003,Department approval,1002,PENDING,Waiting for manager decision,2026-02-05 16:10:00,
5005,PURCHASE_REQUEST,3004,Department approval,1002,REJECTED,Please attach maintenance assessment report,2026-02-06 09:00:00,2026-02-06 13:45:00
5006,PURCHASE_REQUEST,3006,Department approval,1002,APPROVED,Visitor safety supplies approved,2026-02-08 11:30:00,2026-02-08 15:00:00
5007,PURCHASE_REQUEST,3008,Department approval,1002,APPROVED,Server rack accessories approved,2026-02-10 13:00:00,2026-02-10 17:00:00
5008,PURCHASE_REQUEST,3009,Department approval,1002,APPROVED,Maintenance is required for operations,2026-02-11 09:15:00,2026-02-11 14:00:00
5009,PURCHASE_REQUEST,3009,Finance approval,1004,APPROVED,Annual maintenance budget confirmed,2026-02-11 14:05:00,2026-02-12 16:45:00
5010,PURCHASE_REQUEST,3010,Department approval,1002,APPROVED,Emergency need confirmed,2026-02-12 11:20:00,2026-02-12 15:20:00
5011,PURCHASE_REQUEST,3010,Finance approval,1004,PENDING,Pending finance verification,2026-02-12 15:25:00,
5012,CONTRACT,6001,Legal review,1005,APPROVED,Standard terms accepted,2026-02-13 09:00:00,2026-02-13 16:30:00
5013,PAYMENT_REQUEST,9001,Payment approval,1004,APPROVED,Invoice matched and payable,2026-02-25 10:10:00,2026-02-25 15:00:00
5014,PAYMENT_REQUEST,9004,Payment approval,1004,REJECTED,Invoice variance needs supplier clarification,2026-02-26 11:00:00,2026-02-26 16:20:00
